ID,Kapitel,Kapitelrubrik,Titel,Tema,Spår,Komponentnivå,Svårighetsgrad,Byggtid,Kodnivå,Wow-faktor,Komponenter,Beroenden,Illustrationsbehov,Textstatus,Kodstatus,Breadboardtest,Illustrationsstatus,Teknisk granskning,Pedagogisk granskning,Layoutstatus,Slutstatus,Kommentar
E001,1,Kom igång med ESP32,Första blinket,Lampor och ljus,Huvudspår,Baslåda,Upptäckare,10–15 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01",-,Medel/Hög,Teknisk och 5B.6-språklig finjustering,Kodutkast,Ej testad,SVG-bildpaket justerat,Ej granskad,Intern 5B.6-granskning genomförd,PDF-preview stabiliserad,Guldstandard-kandidat,"v46: GPIO ändrad till 23, kopplingsväg konsekventgjord, språk putsat enligt 5B.6 Del C och separat illustrationsbrief skapad. Fysisk test kvarstår. v48: circuit.yaml, Wokwi-diagram, bildprompt/brief och första SVG-underlag skapade. v49: första kompletta SVG-bildpaket skapat, teknisk slutverifiering kvarstår. v50: kopplingsöversikt förenklad och förtydligad, förvirrande bilder arkiverade. v52: explicita bildreferenser i markdown och diskretare insiktsrader."
E002,1,Kom igång med ESP32,LED med egen rytm,Lampor och ljus,Huvudspår,Baslåda,Upptäckare,10–15 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01",E001,Medel/Hög,Reviderad enligt 5B.6,Kodutkast,Ej testad,SVG-bildpaket justerat,Ej granskad,Intern 5B.6-granskning genomförd,PDF-preview stabiliserad,Guldstandard-kandidat,"v47: E002 omskriven enligt stabiliserad 5B.6 och E001/v46-nivå. GPIO 23 används. Fysisk test, kodtest och testläsning kvarstår. v48: circuit.yaml, Wokwi-diagram, bildprompt/brief och första SVG-underlag skapade. v49: första kompletta SVG-bildpaket skapat, teknisk slutverifiering kvarstår. v50: kopplingsöversikt förenklad och förtydligad, förvirrande bilder arkiverade. v52: explicita bildreferenser i markdown och diskretare insiktsrader. v81: E006/Fyrtornet infogad som utmaning i E002. v82: fyrtornsutmaningen lätt putsad/kortad."
E003,1,Kom igång med ESP32,Två LED turas om,Lampor och ljus,Huvudspår,Baslåda,Upptäckare,15–20 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01",E001,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Pågår,"v53 manus, kod, circuit.yaml, Wokwi och SVG-bilder skapade; fysisk test och granskning återstår v81: nästa experiment är E005 enligt ny kapitelordning."
E004,1,Kom igång med ESP32,Mini-trafikljus,Lampor och ljus,Huvudspår,Baslåda,Upptäckare,20–25 min,Nybörjare,★★★★☆,"E01, B01, B02, R01, L01",E003,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Pågår,"v56 E004 finjusterad: gult=vänta, förenklad modell förtydligad, manus och E004-C synkade; fysisk test och granskning återstår v81: flyttad sist i Kapitel 1 som kapitelavslutande miniprojekt. v82: öppning och kapitelavslutning lätt språkputsade."
E005,1,Kom igång med ESP32,Polisljus,Lampor och ljus,Huvudspår,Baslåda,Upptäckare,15–20 min,Nybörjare,★★★★☆,"E01, B01, B02, R01, L01",E003,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Pågår,v81: flyttad direkt efter E003 i kapitelordningen.
E006,1,Kom igång med ESP32,Fyrtornet (infogad i E002),Lampor och ljus,Infogad i E002,Baslåda,Upptäckare,15–20 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01",E002,Medel/Hög,Infogad i E002,Infogad i E002,Ej separat test,Infogad i E002,Ej separat granskning,Ej separat granskning,Ej separat layout,Infogad i E002,v81: E006 är inte längre ett eget experiment. Fyrtornsidén är infogad i E002 som utmaning; v80-material arkiverat.
E007,2,"LED, PWM och färg",LED-stafett,Lampor och ljus,Huvudspår,Baslåda,Uppfinnare,20–30 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01",E004,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Pågår,"v86: E007-B kopplingsbild korrigerad så motståndsledarna når LED-lampornas korta ben. Kvar: fysisk test, kompilering, teknisk/pedagogisk granskning och PDF-layout."
E008,2,"LED, PWM och färg",Rinnande ljus,Lampor och ljus,Huvudspår,Baslåda,Uppfinnare,25–35 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01",E007,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Pågår,"v94: avslutande övergång korrigerad så E008 pekar vidare mot E011/RGB. Kvar: fysisk test, kompilering, teknisk/pedagogisk granskning och PDF-layout."
E009,2,"LED, PWM och färg",Hemlig blinkkod,Lampor och ljus,Bonus/arkiv,Baslåda,Uppfinnare,25–35 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01",E008,Medel/Hög,Utkast,Utkast,Ej testad,Utkast,Ej granskad,Ej granskad,Ej påbörjad,Parkerad,v92: inte aktivt nästa steg. Ligger kvar som bonus-/arkivutkast efter progressionsgranskning.
E010,2,"LED, PWM och färg",Morse med LED,Lampor och ljus,Ej aktiv i Kapitel 2,Baslåda,Uppfinnare,30–40 min,Nybörjare,★★★☆☆,"E01, B01, B02, R01, L01",E009 (parkerad),Medel/Hög,Ej påbörjad,Ej påbörjad,Ej testad,Ej påbörjad,Ej granskad,Ej granskad,Ej påbörjad,Parkerad,v92: produceras inte i aktiv Kapitel 2-produktion. RGB-spåret prioriteras.
