Kapitel,Rytm,Wow-punkt,Risk,Motåtgärd
1,snabb första framgång,första blinket/fyrtorn,för mycket teori,första LED tidigt
2,ljuslek och färg,stämningslampa,RGB-förvirring,tydlig pinout och färgkarta
3,barnet styr systemet,kodlås,INPUT_PULLUP-förvirring,bild och enkel förklaring
4,ljud och spel,Simon Says/reaktionsspel,spelkod blir lång,bygg i små steg
5,mäta och reagera,parkeringssensor,för många siffror,varva mätning med användning
6,larm och scenarier,spökhus,sensorer beter sig olika,uppdragsstil och felsökning
7,miljölabb,sensorlaboratorium,kalibrering kan bli tråkig,koppla mätning till växter/rum
8,skärm gör prylar riktiga,instrumentpanel,bibliotek/layout tar över,mycket litet OLED-starttest
9,visuell lek,NeoPixel-reaktionsring,för många pixlar/strömrisk,"låg ljusstyrka, kort kod"
10,fysisk rörelse,skattkista/larmcentral,servo+sensor+OLED blir stort,bygg i lager
11,robotik,hinderrobot,motorström och mekanik,"vuxenruta, enkel robotbas"
12,hemliga nycklar,RFID-skattkista,SPI/IR-koder krånglar,minimala testprogram
13,data och nätverk,väderloggare/webbstatus,SD/WiFi-frustration,separata block och vuxenstöd
14,egen skaparlust,familjens uppfinning,för stort projekt,minsta fungerande version
